     mean_fit_time  std_fit_time  mean_score_time  std_score_time param_max_depth param_max_features param_min_samples_split param_n_estimators                                                                                     params  split0_test_score  split1_test_score  split2_test_score  split3_test_score  split4_test_score  mean_test_score  std_test_score  rank_test_score  split0_train_score  split1_train_score  split2_train_score  split3_train_score  split4_train_score  mean_train_score  std_train_score
17        3.563251      0.090912         0.314778        0.031429               1               sqrt                       8                250      {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 250}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
16        1.464137      0.073375         0.127969        0.012008               1               sqrt                       8                100      {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 100}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
15        0.178225      0.012599         0.029724        0.006389               1               sqrt                       8                 10       {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 10}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
14       13.690822      0.534837         1.086239        0.097700               1               sqrt                       6               1000     {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 1000}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
13        7.142470      0.568029         0.599475        0.247124               1               sqrt                       6                500      {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 500}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
12        4.768396      0.912623         0.332658        0.033119               1               sqrt                       6                250      {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 250}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
11        1.545292      0.236203         0.164579        0.031894               1               sqrt                       6                100      {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 100}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
10        0.153805      0.016070         0.025779        0.005208               1               sqrt                       6                 10       {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 10}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
9        16.055498      0.331568         1.408373        0.260468               1               sqrt                       4               1000     {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 1000}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
8         7.266197      0.262118         0.617466        0.081487               1               sqrt                       4                500      {'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 500}           0.719888           0.719888           0.719888           0.721289           0.720898         0.720370        0.000603                1            0.720490            0.720490            0.720490            0.720140            0.720238          0.720370         0.000151
